Source,Target,Type,Weight
EVELYN,LAURA,Directed,6
EVELYN,THERESA,Directed,7
EVELYN,BRENDA,Directed,6
EVELYN,CHARLOTTE,Directed,3
EVELYN,FRANCES,Directed,4
EVELYN,ELEANOR,Directed,3
EVELYN,PEARL,Directed,3
EVELYN,RUTH,Directed,3
EVELYN,VERNE,Directed,2
EVELYN,MYRNA,Directed,2
EVELYN,KATHERINE,Directed,2
EVELYN,SYLVIA,Directed,2
EVELYN,NORA,Directed,2
EVELYN,HELEN,Directed,1
EVELYN,DOROTHY,Directed,2
EVELYN,OLIVIA,Directed,1
EVELYN,FLORA,Directed,1
LAURA,THERESA,Directed,6
LAURA,BRENDA,Directed,6
LAURA,CHARLOTTE,Directed,3
LAURA,FRANCES,Directed,4
LAURA,ELEANOR,Directed,4
LAURA,PEARL,Directed,2
LAURA,RUTH,Directed,3
LAURA,VERNE,Directed,2
LAURA,MYRNA,Directed,1
LAURA,KATHERINE,Directed,1
LAURA,SYLVIA,Directed,2
LAURA,NORA,Directed,2
LAURA,HELEN,Directed,2
LAURA,DOROTHY,Directed,1
THERESA,BRENDA,Directed,6
THERESA,CHARLOTTE,Directed,4
THERESA,FRANCES,Directed,4
THERESA,ELEANOR,Directed,4
THERESA,PEARL,Directed,3
THERESA,RUTH,Directed,4
THERESA,VERNE,Directed,3
THERESA,MYRNA,Directed,2
THERESA,KATHERINE,Directed,2
THERESA,SYLVIA,Directed,3
THERESA,NORA,Directed,3
THERESA,HELEN,Directed,2
THERESA,DOROTHY,Directed,2
THERESA,OLIVIA,Directed,1
THERESA,FLORA,Directed,1
BRENDA,CHARLOTTE,Directed,4
BRENDA,FRANCES,Directed,4
BRENDA,ELEANOR,Directed,4
BRENDA,PEARL,Directed,2
BRENDA,RUTH,Directed,3
BRENDA,VERNE,Directed,2
BRENDA,MYRNA,Directed,1
BRENDA,KATHERINE,Directed,1
BRENDA,SYLVIA,Directed,2
BRENDA,NORA,Directed,2
BRENDA,HELEN,Directed,2
BRENDA,DOROTHY,Directed,1
CHARLOTTE,FRANCES,Directed,2
CHARLOTTE,ELEANOR,Directed,2
CHARLOTTE,RUTH,Directed,2
CHARLOTTE,VERNE,Directed,1
CHARLOTTE,SYLVIA,Directed,1
CHARLOTTE,NORA,Directed,1
CHARLOTTE,HELEN,Directed,1
FRANCES,ELEANOR,Directed,3
FRANCES,PEARL,Directed,2
FRANCES,RUTH,Directed,2
FRANCES,VERNE,Directed,1
FRANCES,MYRNA,Directed,1
FRANCES,KATHERINE,Directed,1
FRANCES,SYLVIA,Directed,1
FRANCES,NORA,Directed,1
FRANCES,HELEN,Directed,1
FRANCES,DOROTHY,Directed,1
ELEANOR,PEARL,Directed,2
ELEANOR,RUTH,Directed,3
ELEANOR,VERNE,Directed,2
ELEANOR,MYRNA,Directed,1
ELEANOR,KATHERINE,Directed,1
ELEANOR,SYLVIA,Directed,2
ELEANOR,NORA,Directed,2
ELEANOR,HELEN,Directed,2
ELEANOR,DOROTHY,Directed,1
PEARL,RUTH,Directed,2
PEARL,VERNE,Directed,2
PEARL,MYRNA,Directed,2
PEARL,KATHERINE,Directed,2
PEARL,SYLVIA,Directed,2
PEARL,NORA,Directed,2
PEARL,HELEN,Directed,1
PEARL,DOROTHY,Directed,2
PEARL,OLIVIA,Directed,1
PEARL,FLORA,Directed,1
RUTH,VERNE,Directed,3
RUTH,MYRNA,Directed,2
RUTH,KATHERINE,Directed,2
RUTH,SYLVIA,Directed,3
RUTH,NORA,Directed,2
RUTH,HELEN,Directed,2
RUTH,DOROTHY,Directed,2
RUTH,OLIVIA,Directed,1
RUTH,FLORA,Directed,1
VERNE,MYRNA,Directed,3
VERNE,KATHERINE,Directed,3
VERNE,SYLVIA,Directed,4
VERNE,NORA,Directed,3
VERNE,HELEN,Directed,3
VERNE,DOROTHY,Directed,2
VERNE,OLIVIA,Directed,1
VERNE,FLORA,Directed,1
MYRNA,KATHERINE,Directed,4
MYRNA,SYLVIA,Directed,4
MYRNA,NORA,Directed,3
MYRNA,HELEN,Directed,3
MYRNA,DOROTHY,Directed,2
MYRNA,OLIVIA,Directed,1
MYRNA,FLORA,Directed,1
KATHERINE,SYLVIA,Directed,6
KATHERINE,NORA,Directed,5
KATHERINE,HELEN,Directed,3
KATHERINE,DOROTHY,Directed,2
KATHERINE,OLIVIA,Directed,1
KATHERINE,FLORA,Directed,1
SYLVIA,NORA,Directed,6
SYLVIA,HELEN,Directed,4
SYLVIA,DOROTHY,Directed,2
SYLVIA,OLIVIA,Directed,1
SYLVIA,FLORA,Directed,1
NORA,HELEN,Directed,4
NORA,DOROTHY,Directed,1
NORA,OLIVIA,Directed,2
NORA,FLORA,Directed,2
HELEN,DOROTHY,Directed,1
HELEN,OLIVIA,Directed,1
HELEN,FLORA,Directed,1
DOROTHY,OLIVIA,Directed,1
DOROTHY,FLORA,Directed,1
OLIVIA,FLORA,Directed,2